year,value
1980,233.5674699
1981,231.5445204
1982,227.9977162
1983,225.6816827
1984,223.1381959
1985,219.5658292
1986,213.1384734
1987,212.5690126
1988,211.3683247
1989,211.6305212
1990,209.4179389
1991,207.0731301
1992,205.4305594
1993,204.0397902
1994,201.0441493
1995,198.3541708
1996,194.6495665
1997,190.9953816
1998,188.2259036
1999,187.3944552
2000,187.4893533
2001,186.2188638
2002,184.7433095
2003,182.8420381
2004,179.828529
2005,178.0891488
2006,174.5071427
2007,170.6918323
2008,166.6853619
2009,161.0425116
2010,156.9287208
2011,153.7784987
2012,151.2233106
2013,149.0454152
2014,148.3971998
2015,147.9912907
2016,146.7000493
2017,144.8105336
2018,143.6343817
2019,142.0769575
2020,140.3058963
2021,139.5572438
