year,predicted
2022,26.850440268330747
2023,26.912190020812695
2024,26.96049749361345
2025,26.99828893138606
2026,27.02785356571938
2027,27.05098228626508
2028,27.069076124600777
2029,27.08323112228305
2030,27.094304724006896
2031,27.102967717664036
2032,27.109744867590067
2033,27.115046702375786
2034,27.1191943828022
2035,27.12243915628439
2036,27.12497757628504
2037,27.12696340861974
2038,27.128516945883284
2039,27.12973229422214
2040,27.130683073852225
2041,27.131426878633196
2042,27.132008764839725
2043,27.132463980463516
2044,27.132820100374623
2045,27.133098696680328
2046,27.133316645464237
2047,27.133487149061864
2048,27.133620535797416
2049,27.13372488562621
2050,27.133806519581228
