year,predicted
2022,2235.3392025401445
2023,2213.111676445739
2024,2195.167238209091
2025,2180.6805669411665
2026,2168.985375280259
2027,2159.5437647504336
2028,2151.921486126742
2029,2145.767966953964
2030,2140.8001876219337
2031,2136.789664407686
2032,2133.5519407937736
2033,2130.938103735595
2034,2128.8279346843055
2035,2127.1243803594148
2036,2125.7490889645946
2037,2124.6388065432884
2038,2123.7424677312342
2039,2123.0188471005035
2040,2122.434663073016
2041,2121.963047196577
2042,2121.5823083806495
2043,2121.2749352551973
2044,2121.0267907679586
2045,2120.826461977156
2046,2120.6647351345778
2047,2120.534171916452
2048,2120.4287673116537
2049,2120.3436734324414
2050,2120.2749765449266
