year,predicted
2022,4.940249549875657
2023,4.699687030182047
2024,4.465329217100633
2025,4.237016075792271
2026,4.0145916991149555
2027,3.7979042011602315
2028,3.5868056135355637
2029,3.3811517843218413
2030,3.180802279637023
2031,2.985620287738699
2032,2.7954725256000885
2033,2.6102291478956716
2034,2.429763658334312
2035,2.253952823279318
2036,2.0826765875964575
2037,1.9158179926724608
2038,1.7532630965480331
2039,1.5949008961108333
2040,1.4406232512952908
2041,1.2903248112374979
2042,1.1439029423347506
2043,1.001257658160614
2044,0.8622915511876521
2045,0.7269097262711985
2046,0.5950197358487475
2047,0.4665315168107121
2048,0.3413573289994446
2049,0.21941169529451937
2050,0.10061134324336579
