year,value
1980,1554.993313
1981,1560.334184
1982,1565.069763
1983,1579.904467
1984,1595.587995
1985,1612.45699
1986,1611.314684
1987,1625.779549
1988,1631.448167
1989,1630.200205
1990,1624.742193
1991,1625.04581
1992,1630.959431
1993,1640.482193
1994,1651.071298
1995,1669.882681
1996,1674.657401
1997,1671.938856
1998,1680.861141
1999,1694.408738
2000,1716.767003
2001,1734.516368
2002,1728.611773
2003,1728.264813
2004,1705.742258
2005,1684.926321
2006,1654.300908
2007,1659.584776
2008,1676.988587
2009,1688.023428
2010,1684.06216
2011,1678.802762
2012,1663.894168
2013,1659.36247
2014,1662.009819
2015,1670.444177
2016,1684.749716
2017,1668.131678
2018,1654.25045
2019,1651.414925
2020,1630.343502
2021,1612.125145
