year,value
1980,484.5319404
1981,480.7294953
1982,476.8533765
1983,478.1318054
1984,479.5512276
1985,477.5598754
1986,469.6553546
1987,471.575101
1988,471.8877263
1989,473.0641374
1990,470.7537665
1991,468.0010576
1992,465.402166
1993,462.8007116
1994,457.0094133
1995,450.3782608
1996,441.3186976
1997,433.7778748
1998,429.0544779
1999,425.8133021
2000,422.8024662
2001,416.9029708
2002,411.9733413
2003,407.631929
2004,401.4307991
2005,394.4892783
2006,385.312914
2007,380.3816717
2008,379.330836
2009,378.5068844
2010,377.9751093
2011,375.7391876
2012,372.0238776
2013,366.6302118
2014,360.0146168
2015,357.8984988
2016,355.4163137
2017,350.7615273
2018,348.408072
2019,344.7515956
2020,337.2894304
2021,333.1063354
