Year,Value
1990,6.745005727
1991,8.414030556
1992,10.33431305
1993,12.40186415
1994,14.54756578
1995,16.91963035
1996,19.45353137
1997,22.20896228
1998,25.33783003
1999,28.88760936
2000,33.03328452
2001,37.93292082
2002,41.4277772
2003,43.29055052
2004,47.83920218
2005,52.65917041
2006,50.53283847
2007,49.72154655
2008,52.26087682
2009,51.10568375
2010,51.11212431
2011,51.24427026
2012,48.90488802
2013,51.98799467
2014,61.69426971
2015,71.6081602
2016,78.75384572
2017,82.89337445
2018,84.6804824
2019,85.16456044
2020,85.36347188
2021,83.46555815
