year,value
1980,7.511774532
1981,7.498204853
1982,7.422132865
1983,7.328982828
1984,7.247846585
1985,7.167426988
1986,7.04756697
1987,7.033334315
1988,7.013851788
1989,7.014757307
1990,6.949324571
1991,6.879200166
1992,6.816737619
1993,6.745770287
1994,6.675254146
1995,6.593909933
1996,6.538995377
1997,6.48310861
1998,6.431568488
1999,6.410278707
2000,6.366794756
2001,6.248086594
2002,6.126825738
2003,6.065138242
2004,6.025772805
2005,5.939029596
2006,5.781770382
2007,5.671259871
2008,5.625908781
2009,5.556268146
2010,5.483768574
2011,5.446788225
2012,5.340261332
2013,5.296928788
2014,5.294261666
2015,5.227235048
2016,5.17118954
2017,5.161476465
2018,5.104970232
2019,5.064797005
2020,5.033606904
2021,4.99458639
