year,value
1980,1106.13292
1981,1098.559126
1982,1092.002138
1983,1092.928687
1984,1094.865175
1985,1100.40277
1986,1092.982642
1987,1097.356824
1988,1098.423889
1989,1103.411757
1990,1104.026207
1991,1102.393334
1992,1098.744345
1993,1091.019708
1994,1077.065404
1995,1072.073046
1996,1064.766542
1997,1061.236127
1998,1067.879832
1999,1076.6161
2000,1080.728851
2001,1076.56543
2002,1071.285715
2003,1069.448451
2004,1064.452403
2005,1055.655398
2006,1032.16794
2007,1019.17931
2008,1016.523474
2009,1012.793394
2010,1003.302329
2011,990.0511993
2012,975.8282697
2013,963.8277292
2014,953.3490157
2015,943.4048605
2016,938.8000425
2017,930.5992818
2018,926.4836236
2019,922.8975846
2020,916.7810582
2021,915.0820134
