year,value
1980,22.23886247
1981,22.09738532
1982,21.72961627
1983,21.64228895
1984,21.48890814
1985,21.4010827
1986,21.03565914
1987,20.99974573
1988,20.89739525
1989,20.83265578
1990,20.4395387
1991,20.15345225
1992,19.97293429
1993,19.8805751
1994,19.87246334
1995,19.84318747
1996,19.73910333
1997,19.54783686
1998,19.3910992
1999,19.36679423
2000,19.34711927
2001,18.96179745
2002,18.6091602
2003,18.47951734
2004,18.14519833
2005,17.5232809
2006,16.86805992
2007,16.52332245
2008,16.54586841
2009,16.70410666
2010,16.58331652
2011,16.22195651
2012,15.85708644
2013,15.77334045
2014,15.72680759
2015,15.60480908
2016,15.66375516
2017,15.71645957
2018,15.71897753
2019,15.74151665
2020,15.66559239
2021,15.71478204
