year,value
1980,12.62877632
1981,12.41972135
1982,12.17349472
1983,11.95181138
1984,11.82974353
1985,11.73600475
1986,11.65593244
1987,11.58487453
1988,11.50739692
1989,11.41985873
1990,11.34838666
1991,11.29341875
1992,11.1312021
1993,10.88459715
1994,10.62612086
1995,10.36426795
1996,10.07340215
1997,9.787705005
1998,9.431095747
1999,9.119601585
2000,8.844789526
2001,8.517837667
2002,8.210315729
2003,7.917041447
2004,7.667019554
2005,7.460629356
2006,7.288347515
2007,7.111137348
2008,6.993534908
2009,6.849699656
2010,6.693331207
2011,6.591746238
2012,6.516983217
2013,6.484983632
2014,6.442620591
2015,6.368432451
2016,6.26486506
2017,6.128628243
2018,5.969403512
2019,5.840714205
2020,5.408548447
2021,5.187181048
