year,value
1980,889.7805146
1981,883.1979811
1982,876.7639667
1983,877.5154153
1984,880.0453386
1985,883.4940829
1986,875.6560212
1987,876.0729223
1988,869.0800237
1989,861.2863401
1990,852.3818228
1991,849.1023529
1992,851.6200913
1993,857.4794485
1994,862.0612312
1995,860.9005492
1996,851.629348
1997,843.7345008
1998,842.2102972
1999,840.0261646
2000,839.4647514
2001,835.2935057
2002,830.640728
2003,826.4235704
2004,818.8197923
2005,805.8412652
2006,780.5279166
2007,767.7946216
2008,760.7043179
2009,752.0965777
2010,744.4742445
2011,734.5738303
2012,725.6367565
2013,716.1657801
2014,707.5287469
2015,702.0384642
2016,700.4656946
2017,695.8358842
2018,692.4068469
2019,688.2319911
2020,686.2420237
2021,688.4579284
