year,value
1980,135.3024775
1981,133.0720865
1982,130.2859641
1983,128.9749817
1984,128.2115127
1985,126.6836638
1986,122.6856708
1987,121.8093722
1988,120.6687378
1989,120.0429522
1990,118.5094543
1991,117.4076942
1992,116.1166351
1993,115.4804483
1994,115.2484379
1995,115.2512312
1996,114.0555923
1997,112.3883638
1998,111.2500743
1999,110.3193281
2000,109.8646579
2001,107.9800484
2002,106.1641186
2003,104.5506424
2004,102.2987783
2005,99.24604187
2006,94.84722366
2007,92.30863245
2008,92.5033047
2009,93.26478787
2010,93.03951127
2011,92.03220792
2012,91.07988224
2013,89.65162716
2014,87.23707542
2015,85.73700863
2016,85.05741955
2017,83.63072322
2018,82.57594681
2019,82.05272584
2020,80.96658903
2021,80.46943952
