year,value
1980,12.96511798
1981,12.84940679
1982,12.5286127
1983,12.34530552
1984,12.18603215
1985,12.02364618
1986,11.76971673
1987,11.73357981
1988,11.70513159
1989,11.75672414
1990,11.68042165
1991,11.64493166
1992,11.61563781
1993,11.55357758
1994,11.51035723
1995,11.45850671
1996,11.36808857
1997,11.25139946
1998,11.20013216
1999,11.23298011
2000,11.20953689
2001,11.04921682
2002,10.83337637
2003,10.67424726
2004,10.49985708
2005,10.27473059
2006,9.982706605
2007,9.845712493
2008,9.900681642
2009,10.02158007
2010,10.00329224
2011,9.843030398
2012,9.732453799
2013,9.717483277
2014,9.619311212
2015,9.523965853
2016,9.57952397
2017,9.607707781
2018,9.530391013
2019,9.498084112
2020,9.373646024
2021,9.34597772
