year,value
1980,352.2004555
1981,348.9007157
1982,344.5981612
1983,343.4076075
1984,342.6643294
1985,340.5929001
1986,332.8029624
1987,333.403969
1988,331.0973925
1989,329.6106826
1990,324.7983336
1991,320.4158561
1992,317.2028039
1993,316.5576264
1994,315.3617259
1995,311.874279
1996,305.7301594
1997,299.8938831
1998,295.3188512
1999,292.5473928
2000,289.7276049
2001,285.7420668
2002,281.4334981
2003,277.1014833
2004,275.291396
2005,274.8565773
2006,270.6071526
2007,265.8683822
2008,261.983665
2009,254.5976694
2010,250.7535998
2011,248.4141421
2012,246.9664029
2013,242.4831096
2014,238.9779568
2015,237.0651553
2016,234.1419028
2017,230.0353192
2018,228.366222
2019,226.5835158
2020,223.5176835
2021,223.1338647
