year,value
1980,8.862694978
1981,8.726551858
1982,8.535866278
1983,8.448587148
1984,8.41168521
1985,8.397002021
1986,8.312907599
1987,8.348627833
1988,8.353530149
1989,8.396022992
1990,8.333725074
1991,8.287770505
1992,8.271666341
1993,8.233717154
1994,8.21690466
1995,8.176701493
1996,8.129461684
1997,8.072221552
1998,8.025581315
1999,8.008879945
2000,7.962960706
2001,7.807202796
2002,7.665202458
2003,7.55806124
2004,7.464209203
2005,7.351896076
2006,7.239153118
2007,7.198285539
2008,7.158405797
2009,7.107932913
2010,7.083657548
2011,6.988776645
2012,6.87392004
2013,6.832920908
2014,6.798352921
2015,6.75268932
2016,6.774217607
2017,6.770174461
2018,6.732890801
2019,6.706196747
2020,6.634788525
2021,6.625935759
