year,predicted_value
2022,3.9306551837690438
2023,4.345526174243864
2024,4.787945693220457
2025,5.125761985381084
2026,5.322363427263839
2027,5.4120178997837005
2028,5.44453018821391
2029,5.453988830982374
2030,5.456208847910639
2031,5.456630809723969
2032,5.456695931954053
2033,5.4567041081951535
2034,5.456704944488391
2035,5.456705014248105
2036,5.456705018997566
2037,5.456705019261654
2038,5.456705019273653
2039,5.456705019274098
2040,5.4567050192741124
2041,5.4567050192741124
2042,5.4567050192741124
2043,5.4567050192741124
2044,5.4567050192741124
2045,5.4567050192741124
2046,5.4567050192741124
2047,5.4567050192741124
2048,5.4567050192741124
2049,5.4567050192741124
2050,5.4567050192741124
