year,predicted_value
2022,2182.381309563372
2023,2124.9476112543425
2024,2081.6783372322657
2025,2054.5503360083476
2026,2040.4781801325773
2027,2034.480617845703
2028,2032.3905651394164
2029,2031.7965757445133
2030,2031.6590507044884
2031,2031.6331149460639
2032,2031.6291296362829
2033,2031.6286304186408
2034,2031.6285794120224
2035,2031.6285751588803
2036,2031.6285748693076
2037,2031.6285748532027
2038,2031.6285748524706
2039,2031.6285748524435
2040,2031.6285748524426
2041,2031.6285748524426
2042,2031.6285748524426
2043,2031.6285748524426
2044,2031.6285748524426
2045,2031.6285748524426
2046,2031.6285748524426
2047,2031.6285748524426
2048,2031.6285748524426
2049,2031.6285748524426
2050,2031.6285748524426
