year,predicted_value
2022,5.682133714600602
2023,6.504863615730193
2024,7.432446836604003
2025,8.163535828687765
2026,8.59735749696052
2027,8.797632234559167
2028,8.870834864474263
2029,8.892240699136833
2030,8.897281672855359
2031,8.89824193052362
2032,8.898390344637198
2033,8.898408996299947
2034,8.89841090527289
2035,8.8984110645782
2036,8.898411075427271
2037,8.898411076030635
2038,8.898411076058053
2039,8.898411076059071
2040,8.898411076059103
2041,8.898411076059103
2042,8.898411076059103
2043,8.898411076059103
2044,8.898411076059103
2045,8.898411076059103
2046,8.898411076059103
2047,8.898411076059103
2048,8.898411076059103
2049,8.898411076059103
2050,8.898411076059103
