year,predicted_value
2022,137.42986064999994
2023,137.42986065000002
2024,137.42986065000008
2025,137.42986065000002
2026,137.42986065000002
2027,137.42986065000002
2028,137.42986065000002
2029,137.42986065000002
2030,137.42986065000002
2031,137.42986065000002
2032,137.42986065000002
2033,137.42986065000002
2034,137.42986065000002
2035,137.42986065000002
2036,137.42986065000002
2037,137.42986065000002
2038,137.42986065000002
2039,137.42986065000002
2040,137.42986065000002
2041,137.42986065000002
2042,137.42986065000002
2043,137.42986065000002
2044,137.42986065000002
2045,137.42986065000002
2046,137.42986065000002
2047,137.42986065000002
2048,137.42986065000002
2049,137.42986065000002
2050,137.42986065000002
