year,value
1980,1737.87019
1981,1754.643579
1982,1778.51185
1983,1805.684031
1984,1839.751587
1985,1877.667412
1986,1906.167472
1987,1930.584691
1988,1950.21401
1989,1956.733067
1990,1962.008717
1991,1957.561374
1992,1972.833599
1993,1986.802816
1994,1993.589056
1995,2009.144424
1996,2015.283661
1997,2011.998288
1998,2015.30054
1999,2025.68309
2000,2040.879304
2001,2054.333646
2002,2060.748111
2003,2070.048171
2004,2060.323987
2005,2048.850311
2006,2042.216688
2007,2045.744275
2008,2033.693219
2009,2002.774092
2010,1996.148414
2011,2011.763669
2012,2022.85028
2013,2049.226394
2014,2078.551379
2015,2092.326447
2016,2100.50408
2017,2088.371556
2018,2080.367825
2019,2079.303643
2020,2059.530752
2021,2049.010595
