year,predicted
2022,1604.60088785
2023,1596.76124244
2024,1588.61244319
2025,1580.16060129
2026,1571.41170714
2027,1562.37163269
2028,1553.04613386
2029,1543.44085277
2030,1533.56132000
2031,1523.41295681
2032,1513.00107730
2033,1502.33089053
2034,1491.40750259
2035,1480.23591860
2036,1468.82104480
2037,1457.16769039
2038,1445.28056955
2039,1433.16430324
2040,1420.82342108
2041,1408.26236318
2042,1395.48548185
2043,1382.49704336
2044,1369.30122968
2045,1355.90214009
2046,1342.30379283
2047,1328.51012673
2048,1314.52500275
2049,1300.35220553
2050,1285.99544490
