year,predicted
2022,2235.89206756
2023,2219.01331638
2024,2211.86540103
2025,2213.41422489
2026,2222.20201391
2027,2236.56221521
2028,2254.79875916
2029,2275.32440317
2030,2296.75731441
2031,2317.97848292
2032,2338.15496280
2033,2356.73537854
2034,2373.42472841
2035,2388.14542366
2036,2400.99089546
2037,2412.17715006
2038,2421.99651520
2039,2430.77662836
2040,2438.84657673
2041,2446.51108539
2042,2454.03281094
2043,2461.62215749
2044,2469.43358978
2045,2477.56716317
2046,2486.07389466
2047,2494.96363372
2048,2504.21422164
2049,2513.78091990
2050,2523.60531350
