year,value
1980,675.8473224
1981,671.4107762
1982,663.6498041
1983,658.3766268
1984,650.7817806
1985,644.9484538
1986,637.0074507
1987,641.6516113
1988,645.606129
1989,650.9565118
1990,648.3155372
1991,645.218215
1992,643.1970962
1993,643.9827669
1994,642.4534713
1995,638.4993882
1996,630.4605347
1997,622.575397
1998,615.9974042
1999,609.3187477
2000,605.8179772
2001,597.6365432
2002,590.3116568
2003,587.3543155
2004,580.6428012
2005,570.1266594
2006,551.3355943
2007,540.3564211
2008,537.4472505
2009,535.678423
2010,534.2045527
2011,529.382076
2012,522.3625495
2013,512.6469377
2014,504.7781464
2015,504.3345962
2016,504.5011375
2017,500.4197586
2018,499.4359342
2019,495.1848013
2020,489.4665948
2021,487.3111807
