year,predicted_value
2022,[46.26858466]
2023,[46.71418889]
2024,[47.16408465]
2025,[47.61831327]
2026,[48.07691649]
2027,[48.53993643]
2028,[49.00741563]
2029,[49.47939703]
2030,[49.955924]
2031,[50.43704032]
2032,[50.92279018]
2033,[51.4132182]
2034,[51.90836945]
2035,[52.40828941]
2036,[52.913024]
2037,[53.42261961]
2038,[53.93712303]
2039,[54.45658154]
2040,[54.98104286]
2041,[55.51055517]
2042,[56.04516712]
2043,[56.58492781]
2044,[57.12988684]
2045,[57.68009428]
2046,[58.23560065]
2047,[58.79645701]
2048,[59.36271487]
2049,[59.93442626]
2050,[60.5116437]
