year,predicted_value
2022,6.549846819744857
2023,6.502592814850118
2024,6.455679724947913
2025,6.409105090499679
2026,6.362866469711776
2027,6.316961438406452
2028,6.271387589896108
2029,6.226142534855057
2030,6.18122390119629
2031,6.136629333946075
2032,6.092356495120271
2033,6.048403063603018
2034,6.004766735023281
2035,5.961445221635813
2036,5.918436252199513
2037,5.875737571859759
2038,5.833346942029493
2039,5.791262140272124
2040,5.749480960184087
2041,5.708001211281498
2042,5.66682071888215
2043,5.625937323994322
2044,5.585348883201277
2045,5.545053268551328
2046,5.5050483674438055
2047,5.465332082519808
2048,5.425902331552379
2049,5.386757047335664
2050,5.347894177579292
