year,predicted_value
2022,2345.678977626143
2023,2361.706598086981
2024,2377.8437325180857
2025,2394.091129209497
2026,2410.4495415641577
2027,2426.919728133129
2028,2443.5024526501657
2029,2460.1984840679797
2030,2477.0085965928156
2031,2493.933569721412
2032,2510.9741882763337
2033,2528.1312424430507
2034,2545.4055278059095
2035,2562.7978453856194
2036,2580.3090016757487
2037,2597.939808680967
2038,2615.6910839538323
2039,2633.5636506334995
2040,2651.5583374830894
2041,2669.67597892863
2042,2687.9174150978797
2043,2706.2834918586886
2044,2724.775060858985
2045,2743.3929795653094
2046,2762.138111303677
2047,2781.0113252988667
2048,2800.013496714586
2049,2819.1455066950293
2050,2838.408242404519
