year,predicted_value
2022,5.418291037529116
2023,5.302386204058337
2024,5.188960737297123
2025,5.077961600119409
2026,4.969336889937495
2027,4.863035814432408
2028,4.759008667804267
2029,4.657206807530031
2030,4.557582631617834
2031,4.460089556349544
2032,4.364681994497801
2033,4.271315334009898
2034,4.179945917147506
2035,4.090531020072262
2036,4.003028832868779
2037,3.9173984399942015
2038,3.8335998011462493
2039,3.7515937325413233
2040,3.67134188859103
2041,3.592806743973597
2042,3.5159515760860245
2043,3.440740447873168
2044,3.367138191024196
2045,3.295110389527167
2046,3.2246233635772796
2047,3.1556441538277795
2048,3.0881405059784584
2049,3.022080855693673
2050,2.9574343138434074
