year,value
1980,7.093257387
1981,6.975352196
1982,6.891149157
1983,6.750068731
1984,6.70032901
1985,6.624881158
1986,6.540892458
1987,6.477189713
1988,6.451167161
1989,6.450797019
1990,6.405696776
1991,6.379237631
1992,6.367182846
1993,6.308813082
1994,6.248967721
1995,6.191065695
1996,6.090168186
1997,5.980275462
1998,5.883079177
1999,5.674527733
2000,5.542807432
2001,5.462338811
2002,5.233164471
2003,5.048331243
2004,5.013343713
2005,5.005237721
2006,4.902005945
2007,4.801722055
2008,4.814423311
2009,4.761871678
2010,4.616490258
2011,4.597376299
2012,4.597697294
2013,4.543791594
2014,4.419580873
2015,4.380462063
2016,4.323654849
2017,4.220225013
2018,4.078205987
2019,3.971982869
2020,3.735798491
2021,3.604626986
