year,value
2022-01-01,481.24129559
2023-01-01,477.47372418
2024-01-01,474.91977586
2025-01-01,471.17754823
2026-01-01,466.18334763
2027-01-01,462.41577622
2028-01-01,459.86182789
2029-01-01,456.11960026
2030-01-01,451.12539967
2031-01-01,447.35782825
2032-01-01,444.80387993
2033-01-01,441.06165230
2034-01-01,436.06745170
2035-01-01,432.29988029
2036-01-01,429.74593197
2037-01-01,426.00370434
2038-01-01,421.00950374
2039-01-01,417.24193233
2040-01-01,414.68798400
2041-01-01,410.94575637
2042-01-01,405.95155578
2043-01-01,402.18398436
2044-01-01,399.63003604
2045-01-01,395.88780841
2046-01-01,390.89360781
2047-01-01,387.12603640
2048-01-01,384.57208808
2049-01-01,380.82986045
2050-01-01,375.83565985
