year,value
2022-01-01,2337.79421637
2023-01-01,2356.49519077
2024-01-01,2372.02259892
2025-01-01,2386.08834843
2026-01-01,2407.95769804
2027-01-01,2426.65867244
2028-01-01,2442.18608059
2029-01-01,2456.25183010
2030-01-01,2478.12117971
2031-01-01,2496.82215411
2032-01-01,2512.34956226
2033-01-01,2526.41531177
2034-01-01,2548.28466139
2035-01-01,2566.98563578
2036-01-01,2582.51304393
2037-01-01,2596.57879345
2038-01-01,2618.44814306
2039-01-01,2637.14911745
2040-01-01,2652.67652560
2041-01-01,2666.74227512
2042-01-01,2688.61162473
2043-01-01,2707.31259912
2044-01-01,2722.84000728
2045-01-01,2736.90575679
2046-01-01,2758.77510640
2047-01-01,2777.47608079
2048-01-01,2793.00348895
2049-01-01,2807.06923846
2050-01-01,2828.93858807
