year,value
2022-01-01,5.36865817
2023-01-01,5.25483561
2024-01-01,5.12931741
2025-01-01,4.99185588
2026-01-01,4.88974919
2027-01-01,4.77592663
2028-01-01,4.65040843
2029-01-01,4.51294690
2030-01-01,4.41084021
2031-01-01,4.29701765
2032-01-01,4.17149945
2033-01-01,4.03403791
2034-01-01,3.93193123
2035-01-01,3.81810867
2036-01-01,3.69259046
2037-01-01,3.55512893
2038-01-01,3.45302225
2039-01-01,3.33919968
2040-01-01,3.21368148
2041-01-01,3.07621995
2042-01-01,2.97411327
2043-01-01,2.86029070
2044-01-01,2.73477250
2045-01-01,2.59731097
2046-01-01,2.49520428
2047-01-01,2.38138172
2048-01-01,2.25586352
2049-01-01,2.11840199
2050-01-01,2.01629530
