year,value
1980,1521.749985
1981,1555.111234
1982,1583.456791
1983,1641.233428
1984,1699.832538
1985,1748.880438
1986,1784.495023
1987,1832.911927
1988,1881.027146
1989,1919.924012
1990,1961.177768
1991,2002.788798
1992,2040.606694
1993,2073.478884
1994,2081.610178
1995,2101.288391
1996,2112.351957
1997,2110.978074
1998,2092.26823
1999,2082.023229
2000,2063.746162
2001,2053.312311
2002,2048.5483
2003,2051.878703
2004,2043.286885
2005,2035.841072
2006,2050.495884
2007,2075.354934
2008,2103.381243
2009,2120.729466
2010,2141.322476
2011,2156.295044
2012,2147.356651
2013,2142.145121
2014,2152.783873
2015,2174.569158
2016,2222.889062
2017,2291.606072
2018,2335.236029
2019,2337.05338
2020,2299.411877
2021,2262.87213
