age,year,val
<5 years,1980,69312.6152
10-14 years,1980,30830.99333
15-19 years,1980,34106.07149
20-24 years,1980,33850.42743
25-29 years,1980,46371.20075
30-34 years,1980,64649.91298
35-39 years,1980,100375.0709
40-44 years,1980,181320.2218
45-49 years,1980,276834.6702
50-54 years,1980,426432.6378
55-59 years,1980,530332.0807
5-9 years,1980,37909.49793
60-64 years,1980,568547.0279
65-69 years,1980,680728.4585
70-74 years,1980,666245.6208
75-79 years,1980,524626.6524
80-84 years,1980,312412.6111
85-89 years,1980,150152.6644
90-94 years,1980,50068.29788
95+ years,1980,11240.6719
<5 years,1981,68966.00197
10-14 years,1981,30795.68179
15-19 years,1981,35113.41306
20-24 years,1981,33854.24452
25-29 years,1981,47062.46616
30-34 years,1981,67493.49865
35-39 years,1981,100073.6979
40-44 years,1981,180382.6516
45-49 years,1981,276351.1538
50-54 years,1981,431111.334
55-59 years,1981,540662.0023
5-9 years,1981,37271.87472
60-64 years,1981,581393.6925
65-69 years,1981,676554.8899
70-74 years,1981,676587.6736
75-79 years,1981,538838.2666
80-84 years,1981,325977.6581
85-89 years,1981,155946.4018
90-94 years,1981,52244.10425
95+ years,1981,11830.95373
<5 years,1982,68457.67677
10-14 years,1982,30562.63258
15-19 years,1982,35709.60845
20-24 years,1982,33891.1725
25-29 years,1982,46790.42699
30-34 years,1982,68843.66484
35-39 years,1982,101191.6764
40-44 years,1982,178028.1233
45-49 years,1982,275634.1784
50-54 years,1982,430665.4464
55-59 years,1982,549494.0762
5-9 years,1982,36821.91864
60-64 years,1982,598036.9852
65-69 years,1982,667034.3862
70-74 years,1982,685357.7886
75-79 years,1982,555472.9468
80-84 years,1982,339457.7578
85-89 years,1982,162667.6943
90-94 years,1982,54811.06055
95+ years,1982,12445.17262
<5 years,1983,68152.78258
10-14 years,1983,30282.68177
15-19 years,1983,36007.40733
20-24 years,1983,34663.87091
25-29 years,1983,46740.73773
30-34 years,1983,71342.2362
35-39 years,1983,103727.0642
40-44 years,1983,176852.9008
45-49 years,1983,277938.4019
50-54 years,1983,431619.9024
55-59 years,1983,563333.7808
5-9 years,1983,36141.58383
60-64 years,1983,623545.7261
65-69 years,1983,659335.8958
70-74 years,1983,701143.6815
75-79 years,1983,572084.6365
80-84 years,1983,357307.6969
85-89 years,1983,170360.9212
90-94 years,1983,57855.28691
95+ years,1983,13296.03191
<5 years,1984,68455.63474
10-14 years,1984,30109.57004
15-19 years,1984,36198.42778
20-24 years,1984,35815.86615
25-29 years,1984,46581.72483
30-34 years,1984,73213.10785
35-39 years,1984,108724.5804
40-44 years,1984,176092.2632
45-49 years,1984,281100.6805
50-54 years,1984,431399.9329
55-59 years,1984,577661.7397
5-9 years,1984,36078.53092
60-64 years,1984,648582.6751
65-69 years,1984,655281.7181
70-74 years,1984,715528.3024
75-79 years,1984,588838.0988
80-84 years,1984,376669.4044
85-89 years,1984,178704.1947
90-94 years,1984,61085.39529
95+ years,1984,14289.47439
<5 years,1985,68944.78353
10-14 years,1985,29771.44617
15-19 years,1985,36266.55258
20-24 years,1985,37078.22396
25-29 years,1985,46387.85075
30-34 years,1985,76057.8597
35-39 years,1985,112891.5064
40-44 years,1985,174608.865
45-49 years,1985,282403.2815
50-54 years,1985,429623.253
55-59 years,1985,587658.7338
5-9 years,1985,36004.85875
60-64 years,1985,667080.5978
65-69 years,1985,662595.6187
70-74 years,1985,727315.0379
75-79 years,1985,606593.7023
80-84 years,1985,394930.8137
85-89 years,1985,188345.6351
90-94 years,1985,64654.15721
95+ years,1985,15132.71425
<5 years,1986,69504.31001
10-14 years,1986,29221.09326
15-19 years,1986,36057.87065
20-24 years,1986,37912.44896
25-29 years,1986,46054.45593
30-34 years,1986,76754.97606
35-39 years,1986,116639.9385
40-44 years,1986,173389.6003
45-49 years,1986,277045.9822
50-54 years,1986,423438.98
55-59 years,1986,586228.324
5-9 years,1986,35960.72281
60-64 years,1986,675907.2173
65-69 years,1986,676345.8132
70-74 years,1986,722231.9108
75-79 years,1986,618599.9531
80-84 years,1986,408039.021
85-89 years,1986,198510.9317
90-94 years,1986,68148.80784
95+ years,1986,15894.08732
<5 years,1987,70032.06585
10-14 years,1987,28962.25242
15-19 years,1987,36265.08988
20-24 years,1987,39150.21641
25-29 years,1987,46936.22875
30-34 years,1987,78289.41606
35-39 years,1987,121054.057
40-44 years,1987,178441.2319
45-49 years,1987,277629.655
50-54 years,1987,430212.8306
55-59 years,1987,596292.1133
5-9 years,1987,36079.82551
60-64 years,1987,699085.3193
65-69 years,1987,708324.7453
70-74 years,1987,721652.8389
75-79 years,1987,635971.1575
80-84 years,1987,426398.6708
85-89 years,1987,209837.0092
90-94 years,1987,72046.86319
95+ years,1987,16810.10186
<5 years,1988,70352.75062
10-14 years,1988,28744.29407
15-19 years,1988,36349.27731
20-24 years,1988,39995.55716
25-29 years,1988,48323.34644
30-34 years,1988,79058.79899
35-39 years,1988,126303.0999
40-44 years,1988,184263.7331
45-49 years,1988,276987.6038
50-54 years,1988,435512.4884
55-59 years,1988,599721.0238
5-9 years,1988,36464.41385
60-64 years,1988,720197.102
65-69 years,1988,742665.8767
70-74 years,1988,714179.1513
75-79 years,1988,652769.3402
80-84 years,1988,441824.5804
85-89 years,1988,222139.9939
90-94 years,1988,75845.53712
95+ years,1988,17834.74731
<5 years,1989,70410.81064
10-14 years,1989,28787.1374
15-19 years,1989,36441.1525
20-24 years,1989,40830.84885
25-29 years,1989,50292.30846
30-34 years,1989,79586.06755
35-39 years,1989,130528.0555
40-44 years,1989,195105.2105
45-49 years,1989,277412.2528
50-54 years,1989,443137.3838
